,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12
4738,47025830,0,0,0,0,0,0,0,1,0,0,0,0
4762,47111215,0,0,0,0,0,0,0,1,0,0,0,0
4767,47128409,0,0,0,0,0,0,0,1,0,0,0,0
4773,47140125,0,0,0,0,0,0,0,1,0,0,0,0
4774,47149677,0,0,0,0,0,0,0,1,0,0,0,0
4818,47291288,0,0,0,0,0,0,0,1,0,0,0,0
4822,47297441,0,0,0,0,0,0,0,1,0,0,0,0
4833,47317582,0,0,0,0,0,0,0,1,0,0,0,0
4839,47328926,0,0,0,0,0,0,0,1,0,0,0,0
4852,47386886,0,0,0,0,0,0,0,1,0,0,0,0
4876,47493454,0,0,0,0,0,0,0,1,0,0,0,0
4879,47499804,0,0,0,0,0,0,0,1,0,0,0,0
4926,47675912,0,0,0,0,0,0,0,1,0,0,0,0
4943,47727475,0,0,0,0,0,0,0,1,0,0,0,0
4955,47773305,0,0,0,0,0,0,0,1,0,0,0,0
4968,47815848,0,0,0,0,0,0,0,1,0,0,0,0
4970,47822488,0,0,0,0,0,0,0,1,0,0,0,0
4972,47826702,0,0,0,0,0,0,0,1,0,0,0,0
4976,47838165,0,0,0,0,0,0,0,1,0,0,0,0
4999,47886396,0,0,0,0,0,0,0,1,0,0,0,0
5003,47900145,0,0,0,0,0,0,0,1,0,0,0,0
5011,47934679,0,0,0,0,0,0,0,1,0,0,0,0
5013,47938548,0,0,0,0,0,0,0,1,0,0,0,0
5014,47948600,0,0,0,0,0,0,0,1,0,0,0,0
5042,48010356,0,0,0,0,0,0,0,1,0,0,0,0
5046,48021018,0,0,0,0,0,0,0,1,0,0,0,0
5051,48027689,0,0,0,0,0,0,0,1,0,0,0,0
5060,48051567,0,0,0,0,0,0,0,1,0,0,0,0
5070,48075642,0,0,0,0,0,0,0,1,0,0,0,0
5076,48085141,0,0,0,0,0,0,0,1,0,0,0,0
5083,48106860,0,0,0,0,0,0,0,1,0,0,0,0
5102,48177372,0,0,0,0,0,0,0,1,0,0,0,0
5130,48256242,0,0,0,0,0,0,0,1,0,0,0,0
5163,48352392,0,0,0,0,0,0,0,1,0,0,0,0
5176,48411912,0,0,0,0,0,0,0,1,0,0,0,0
5205,48488785,0,0,0,0,0,0,0,1,0,0,0,0
5223,48549441,0,0,0,0,0,0,0,1,0,0,0,0
5253,48622377,0,0,0,0,0,0,0,1,0,0,0,0
5259,48650770,0,0,0,0,0,0,0,1,0,0,0,0
5260,48659211,0,0,0,0,0,0,0,1,0,0,0,0
5284,48728091,0,0,0,0,0,0,0,1,0,0,0,0
5297,48763886,0,0,0,0,0,0,0,1,0,0,0,0
5311,48816940,0,0,0,0,0,0,0,1,0,0,0,0
5312,48817741,0,0,0,0,0,0,0,1,0,0,0,0
5322,48853606,0,0,0,0,0,0,0,1,0,0,0,0
5330,48890346,0,0,0,0,0,0,0,1,0,0,0,0
5340,48913758,0,0,0,0,0,0,0,1,0,0,0,0
5349,48928103,0,0,0,0,0,0,0,1,0,0,0,0
5367,48992087,0,0,0,0,0,0,0,1,0,0,0,0
5391,49076033,0,0,0,0,0,0,0,1,0,0,0,0
5396,49092812,0,0,0,0,0,0,0,1,0,0,0,0
5402,49106656,0,0,0,0,0,0,0,1,0,0,0,0
5481,49354526,0,0,0,0,0,0,0,1,0,0,0,0
5488,49378415,0,0,0,0,0,0,0,1,0,0,0,0
5494,49402559,0,0,0,0,0,0,0,1,0,0,0,0
5496,49412192,0,0,0,0,0,0,0,1,0,0,0,0
5510,49463782,0,0,0,0,0,0,0,1,0,0,0,0
5529,49534756,0,0,0,0,0,0,0,1,0,0,0,0
5550,49576772,0,0,0,0,0,0,0,1,0,0,0,0
5563,49613063,0,0,0,0,0,0,0,1,0,0,0,0
5574,49644668,0,0,0,0,0,0,0,1,0,0,0,0
5596,49742363,0,0,0,0,0,0,0,1,0,0,0,0
5634,49826042,0,0,0,0,0,0,0,1,0,0,0,0
5652,49869676,0,0,0,0,0,0,0,1,0,0,0,0
5655,49875179,0,0,0,0,0,0,0,1,0,0,0,0
5670,49931543,0,0,0,0,0,0,0,1,0,0,0,0
5676,49953169,0,0,0,0,0,0,0,1,0,0,0,0
5686,49995363,0,0,0,0,0,0,0,1,0,0,0,0
5706,50062988,0,0,0,0,0,0,0,1,0,0,0,0
5761,50227149,0,0,0,0,0,0,0,1,0,0,0,0
5768,50245365,0,0,0,0,0,0,0,1,0,0,0,0
5796,50330153,0,0,0,0,0,0,0,1,0,0,0,0
5800,50339277,0,0,0,0,0,0,0,1,0,0,0,0
5821,50383055,0,0,0,0,0,0,0,1,0,0,0,0
5836,50425188,0,0,0,0,0,0,0,1,0,0,0,0
5861,50494872,0,0,0,0,0,0,0,1,0,0,0,0
5881,50538454,0,0,0,0,0,0,0,1,0,0,0,0
5888,50549950,0,0,0,0,0,0,0,1,0,0,0,0
5895,50575770,0,0,0,0,0,0,0,1,0,0,0,0
5899,50586793,0,0,0,0,0,0,0,1,0,0,0,0
5909,50604275,0,0,0,0,0,0,0,1,0,0,0,0
5917,50630763,0,0,0,0,0,0,0,1,0,0,0,0
5953,50723337,0,0,0,0,0,0,0,1,0,0,0,0
5968,50759817,0,0,0,0,0,0,0,1,0,0,0,0
5976,50774105,0,0,0,0,0,0,0,1,0,0,0,0
5977,50774355,0,0,0,0,0,0,0,1,0,0,0,0
5981,50784161,0,0,0,0,0,0,0,1,0,0,0,0
5984,50787115,0,0,0,0,0,0,0,1,0,0,0,0
5986,50788614,0,0,0,0,0,0,0,1,0,0,0,0
6006,50832659,0,0,0,0,0,0,0,1,0,0,0,0
6027,50880082,0,0,0,0,0,0,0,1,0,0,0,0
