,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
31112,Foundry376_Mailspring_486,0,0,1,0,0,0,0,0,0,0,0,0,0
50525,Foundry376_Mailspring_497,0,0,1,0,0,0,0,0,0,0,0,0,0
57708,Foundry376_Mailspring_504,0,0,1,0,0,0,0,0,0,0,0,0,0
53756,Foundry376_Mailspring_505,0,0,1,0,0,0,0,0,0,0,0,0,0
60305,Foundry376_Mailspring_506,0,0,1,0,0,0,0,0,0,0,0,0,0
51130,Foundry376_Mailspring_508,0,0,1,0,0,0,0,0,0,0,0,0,0
44435,Foundry376_Mailspring_537,0,0,1,0,0,0,0,0,0,0,0,0,0
8032,Foundry376_Mailspring_544,0,0,1,0,0,0,0,0,0,0,0,0,0
5282,Foundry376_Mailspring_546,0,0,1,0,0,0,0,0,0,0,0,0,0
96692,Foundry376_Mailspring_549,0,0,1,0,0,0,0,0,0,0,0,0,0
5257,Foundry376_Mailspring_552,0,0,1,0,0,0,0,0,0,0,0,0,0
