,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12
22189,BoostIO_Boostnote_1784,1,0,0,0,0,0,0,0,0,0,0,0
22236,BoostIO_Boostnote_1835,1,0,0,0,0,0,0,0,0,0,0,0
22237,BoostIO_Boostnote_1837,1,0,0,0,0,0,0,0,0,0,0,0
22263,BoostIO_Boostnote_1880,1,0,0,0,0,0,0,0,0,0,0,0
22278,BoostIO_Boostnote_19,1,0,0,0,0,0,0,0,0,0,0,0
22307,BoostIO_Boostnote_1943,1,0,0,0,0,0,0,0,0,0,0,0
22382,BoostIO_Boostnote_2040,1,0,0,0,0,0,0,0,0,0,0,0
22403,BoostIO_Boostnote_2072,1,0,0,0,0,0,0,0,0,0,0,0
22419,BoostIO_Boostnote_2090,1,0,0,0,0,0,0,0,0,0,0,0
22467,BoostIO_Boostnote_2151,1,0,0,0,0,0,0,0,0,0,0,0
22475,BoostIO_Boostnote_2161,1,0,0,0,0,0,0,0,0,0,0,0
22477,BoostIO_Boostnote_2164,1,0,0,0,0,0,0,0,0,0,0,0
22479,BoostIO_Boostnote_2166,1,0,0,0,0,0,0,0,0,0,0,0
22480,BoostIO_Boostnote_2167,1,0,0,0,0,0,0,0,0,0,0,0
22486,BoostIO_Boostnote_2181,1,0,0,0,0,0,0,0,0,0,0,0
22487,BoostIO_Boostnote_2182,1,0,0,0,0,0,0,0,0,0,0,0
22492,BoostIO_Boostnote_2190,1,0,0,0,0,0,0,0,0,0,0,0
22504,BoostIO_Boostnote_2204,1,0,0,0,0,0,0,0,0,0,0,0
22507,BoostIO_Boostnote_2210,1,0,0,0,0,0,0,0,0,0,0,0
22632,BoostIO_Boostnote_2376,1,0,0,0,0,0,0,0,0,0,0,0
22657,BoostIO_Boostnote_242,1,0,0,0,0,0,0,0,0,0,0,0
22682,BoostIO_Boostnote_2478,1,0,0,0,0,0,0,0,0,0,0,0
22686,BoostIO_Boostnote_2483,1,0,0,0,0,0,0,0,0,0,0,0
22743,BoostIO_Boostnote_2565,1,0,0,0,0,0,0,0,0,0,0,0
22750,BoostIO_Boostnote_2575,1,0,0,0,0,0,0,0,0,0,0,0
22751,BoostIO_Boostnote_2577,1,0,0,0,0,0,0,0,0,0,0,0
22752,BoostIO_Boostnote_2578,1,0,0,0,0,0,0,0,0,0,0,0
22757,BoostIO_Boostnote_2587,1,0,0,0,0,0,0,0,0,0,0,0
22763,BoostIO_Boostnote_2607,1,0,0,0,0,0,0,0,0,0,0,0
22782,BoostIO_Boostnote_2633,1,0,0,0,0,0,0,0,0,0,0,0
22784,BoostIO_Boostnote_2635,1,0,0,0,0,0,0,0,0,0,0,0
22795,BoostIO_Boostnote_2653,1,0,0,0,0,0,0,0,0,0,0,0
22847,BoostIO_Boostnote_2726,1,0,0,0,0,0,0,0,0,0,0,0
22874,BoostIO_Boostnote_277,1,0,0,0,0,0,0,0,0,0,0,0
22895,BoostIO_Boostnote_2807,1,0,0,0,0,0,0,0,0,0,0,0
22923,BoostIO_Boostnote_2844,1,0,0,0,0,0,0,0,0,0,0,0
22975,BoostIO_Boostnote_2918,1,0,0,0,0,0,0,0,0,0,0,0
23011,BoostIO_Boostnote_2973,1,0,0,0,0,0,0,0,0,0,0,0
23012,BoostIO_Boostnote_2974,1,0,0,0,0,0,0,0,0,0,0,0
23023,BoostIO_Boostnote_299,1,0,0,0,0,0,0,0,0,0,0,0
23035,BoostIO_Boostnote_3007,1,0,0,0,0,0,0,0,0,0,0,0
23043,BoostIO_Boostnote_3019,1,0,0,0,0,0,0,0,0,0,0,0
23053,BoostIO_Boostnote_3031,1,0,0,0,0,0,0,0,0,0,0,0
23059,BoostIO_Boostnote_304,1,0,0,0,0,0,0,0,0,0,0,0
23064,BoostIO_Boostnote_3044,1,0,0,0,0,0,0,0,0,0,0,0
23097,BoostIO_Boostnote_3090,1,0,0,0,0,0,0,0,0,0,0,0
23103,BoostIO_Boostnote_3098,1,0,0,0,0,0,0,0,0,0,0,0
23105,BoostIO_Boostnote_3100,1,0,0,0,0,0,0,0,0,0,0,0
23120,BoostIO_Boostnote_3119,1,0,0,0,0,0,0,0,0,0,0,0
23195,BoostIO_Boostnote_3216,1,0,0,0,0,0,0,0,0,0,0,0
23226,BoostIO_Boostnote_3260,1,0,0,0,0,0,0,0,0,0,0,0
23258,BoostIO_Boostnote_3302,1,0,0,0,0,0,0,0,0,0,0,0
23259,BoostIO_Boostnote_3303,1,0,0,0,0,0,0,0,0,0,0,0
23264,BoostIO_Boostnote_3309,1,0,0,0,0,0,0,0,0,0,0,0
23267,BoostIO_Boostnote_3312,1,0,0,0,0,0,0,0,0,0,0,0
