,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
849,25463360,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2770,25473715,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4836,25487685,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8676,25487953,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5187,25490273,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1353,25501866,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1070,25577658,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3599,25588361,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2595,25599624,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2431,25609853,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8105,25610561,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,25610725,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6022,25619583,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6623,25622310,0,0,0,0,0,0,1,0,0,0,0,0,0,0
707,25641569,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7768,25642385,0,0,0,0,0,0,1,0,0,0,0,0,0,0
306,25672771,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2214,25678073,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8558,25697093,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3996,25710977,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7336,25735127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
929,25747285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1453,25751569,1,0,0,0,0,0,0,0,0,0,0,0,0,0
693,25754602,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6874,25758043,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10342,25759739,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8614,25764696,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5870,25788885,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6655,25810744,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8026,25833825,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8572,25836278,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6513,25878605,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1696,25915486,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9297,25918390,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4425,25954491,0,0,0,0,1,0,0,0,0,0,0,0,0,0
